key,title,comment,no_sync,rfc,rfc_section,rfc_appendix,cite_url,cite_title,deprecated,is_json,is_xml,patch
application/problem+xml,,,,7807,,,,,,,,
application/pskc+xml,,,,6030,,,,,,,,
application/qsig,,,,3204,,,,,,,,
application/raptorfec,,,,6682,,,,,,,,
application/rdap+json,,,,7483,,,,,,,,
application/rdf+xml,,,,3870,,,,,,,,
application/reginfo+xml,,,,3680,,,,,,,,
application/relax-ng-compact-syntax,,,,,,,http://www.jtc1sc34.org/repository/0661.pdf,,,,,
application/remote-printing,,,,1486,,,,,,,,
application/reputon+json,,,,7071,,,,,,,,
application/resource-lists+xml,,,,4826,,,,,,,,
application/resource-lists-diff+xml,,,,5362,,,,,,,,
application/rfc+xml,,,,7991,,,,,,,,
application/rlmi+xml,,,,4662,,,,,,,,
application/rls-services+xml,,,,4826,,,,,,,,
application/rpki-ghostbusters,,,,6493,,,,,,,,
application/rpki-manifest,,,,6481,,,,,,,,
application/rpki-publication,,,,8181,,,,,,,,
application/rpki-roa,,,,6481,,,,,,,,
application/rpki-updown,,,,6492,,,,,,,,
application/rtploopback,,,,6849,,,,,,,,
application/rtx,,,,4588,,,,,,,,
application/sbml+xml,,,,3823,,,,,,,,
application/scim+json,,,,7644,,,,,,,,
application/scvp-cv-request,,,,5055,,,,,,,,
application/scvp-cv-response,,,,5055,,,,,,,,
application/scvp-vp-request,,,,5055,,,,,,,,
application/scvp-vp-response,,,,5055,,,,,,,,
application/sdp,,,,4566,,,,,,,,
application/sgml,,,,1874,,,,,,,,
application/shf+xml,,,,4194,,,,,,,,
application/sieve,,,,5228,,,,,,,,
application/simple-filter+xml,,,,4661,,,,,,,,
application/simple-message-summary,,,,3842,,,,,,,,
application/smil,,,,4536,,,,,True,,,
application/smil+xml,,,,4536,,,,,,,,
application/smpte336m,,,,6597,,,,,,,,
application/soap+xml,,,,3902,,,,,,,,
application/sparql-query,,,,,,,http://www.w3.org/TR/2007/CR-rdf-sparql-query-20070614/#mediaType,,,,,
application/sparql-results+xml,,,,,,,http://www.w3.org/TR/2007/CR-rdf-sparql-XMLres-20070925/#mime,,,,,
application/spirits-event+xml,,,,3910,,,,,,,,
application/sql,,,,6922,,,,,,,,
application/srgs,,,,4267,,,,,,,,
application/srgs+xml,,,,4267,,,,,,,,
application/sru+xml,,,,6207,,,,,,,,
application/ssml+xml,,,,4267,,,,,,,,
application/tamp-apex-update,,,,5934,,,,,,,,
application/tamp-apex-update-confirm,,,,5934,,,,,,,,
application/tamp-community-update,,,,5934,,,,,,,,
application/tamp-community-update-confirm,,,,5934,,,,,,,,
application/tamp-error,,,,5934,,,,,,,,
application/tamp-sequence-adjust,,,,5934,,,,,,,,
application/tamp-sequence-adjust-confirm,,,,5934,,,,,,,,
application/tamp-status-query,,,,5934,,,,,,,,
application/tamp-status-response,,,,5934,,,,,,,,
