key,title,comment,no_sync,rfc,rfc_section,rfc_appendix,cite_url,cite_title,syntax_module,syntax_symbol,bad_for_connection,bad_for_trailer,for_request,for_response,iana_status,precondition,proactive_conneg,representation_metadata,rule
Sec-WebSocket-Extensions,,,,6455,,,,,,,,,,,standard,,,,
Sec-WebSocket-Key,,,,6455,,,,,,,,,,,standard,,,,
Sec-WebSocket-Protocol,,,,6455,,,,,,,,,,,standard,,,,
Sec-WebSocket-Version,,,,6455,,,,,,,,,,,standard,,,,
Security-Scheme,,,,4229,,,,,,,,,,,,,,,
Server,,,,7231,7.4.2,,,,rfc7231,Server,,,False,True,standard,,,,single
Set-Cookie,,,,6265,,,,,,,,,,,standard,,,,
Set-Cookie2,,,,2965,,,,,,,,,,,obsoleted,,,,
SetProfile,,,,4229,,,,,,,,,,,,,,,
SoapAction,,,,4229,,,,,,,,,,,,,,,
Status-URI,,,,4229,,,,,,,,,,,,,,,
Strict-Transport-Security,,,,6797,6.1,,,,rfc6797,Strict_Transport_Security,,,False,True,standard,,,,special
SubOK,,,,4229,,,,,,,,,,,,,,,
Subst,,,,4229,,,,,,,,,,,,,,,
Surrogate-Capability,,,,4229,,,,,,,,,,,,,,,
Surrogate-Control,,,,4229,,,,,,,,,,,,,,,
TCN,,,,4229,,,,,,,,,,,,,,,
TE,,,,7230,4.3,,,,rfc7230,TE,,True,True,False,standard,False,False,,multi
TTL,,,,8030,5.2,,,,,,,,,,standard,,,,
Timeout,,,,4918,,,,,,,,,,,standard,,,,
Title,,,,4229,,,,,,,,,,,,,,,
Topic,,,,8030,5.4,,,,,,,,,,standard,,,,
Trailer,,,,7230,4.4,,,,rfc7230,Trailer,,True,,,standard,False,False,,multi
Transfer-Encoding,,,,7230,3.3.1,,,,rfc7230,Transfer_Encoding,,True,True,True,standard,False,False,,multi
UA-Color,,,,4229,,,,,,,,,,,,,,,
UA-Media,,,,4229,,,,,,,,,,,,,,,
UA-Pixels,,,,4229,,,,,,,,,,,,,,,
UA-Resolution,,,,4229,,,,,,,,,,,,,,,
UA-Windowpixels,,,,4229,,,,,,,,,,,,,,,
URI,,,,4229,,,,,,,,,,,,,,,
Upgrade,,,,7230,6.7,,,,rfc7230,Upgrade,,,True,True,standard,False,False,,multi
Urgency,,,,8030,5.3,,,,,,,,,,standard,,,,
User-Agent,,,,7231,5.5.3,,,,rfc7231,User_Agent,,,True,False,standard,False,False,,single
Variant-Vary,,,,4229,,,,,,,,,,,,,,,
Vary,,,,7231,7.1.4,,,,rfc7231,Vary,True,True,False,True,standard,,,,multi
Version,,,,4229,,,,,,,,,,,,,,,
Via,,,,7230,5.7.1,,,,rfc7230,Via,True,,True,True,standard,False,False,,multi
WWW-Authenticate,,,,7235,4.1,,,,rfc7235,WWW_Authenticate,True,,False,True,standard,,,,multi
Want-Digest,,,,4229,,,,,,,,,,,,,,,
Warning,,,,7234,5.5,,,,rfc7234,Warning_,True,True,True,True,standard,False,False,,multi
X-ATT-DeviceId,,"Any common ""X-"" prefixed headers should be included here,
even if there are no citations for them.
This is necessary for notice 1277 to work properly.
Many of these are taken from Wikipedia:
https://en.wikipedia.org/wiki/List_of_HTTP_header_fields",,,,,,,,,,,,,,,,,
X-Aspnet-Version,,,,,,,,,,,,,,,,,,,
X-CSRF-Token,,,,,,,,,,,,,,,,,,,
X-CSRFToken,,,,,,,,,,,,,,,,,,,
X-Content-Duration,,,,,,,,,,,,,,,,,,,
X-Content-Security-Policy,,,,,,,,,,,,,,,,,,,
X-Content-Type-Options,,,,,,,,,,,,,,,,,,,
X-Device-Accept,,,,,,,http://www.w3.org/2005/MWI/BPWG/,W3C Mobile Web Best Practices Working Group,,,,,,,,,,,
X-Device-Accept-Charset,,,,,,,http://www.w3.org/2005/MWI/BPWG/,W3C Mobile Web Best Practices Working Group,,,,,,,,,,,
X-Device-Accept-Encoding,,,,,,,http://www.w3.org/2005/MWI/BPWG/,W3C Mobile Web Best Practices Working Group,,,,,,,,,,,
